0.59,127.29
1.28,276.84
0.16,34.6
0.3,64.71
0.42,90.67
0.36,77.66
0.31,66.87
1.73,373.11
0.01,2.16
0.25,54.09
1.41,304.79
1.61,347.86
0.36,77.67
0.65,140.42
0.04,8.63
1.88,406.36
0.79,170.79
0.81,175.01
1.71,369.7
1.65,355.91
0.61,131.79
1.4,302.71
0.85,183.34
0.79,170.48
0.45,97.29
1.79,386.99
0.83,179.38
1.21,261.38
0.81,175.05
1.07,231.43
0.93,200.65
0.58,125.26
0.98,211.97
1.64,353.75
1.53,330.39
1.75,377.71
0.31,67.03
0.98,211.37
0.96,207.14
1.96,422.7
0.08,17.29
1.03,222.66
1.32,285.16
1.0,215.76
1.87,404.04
0.53,114.57
0.4,86.52
1.0,216.29
1.0,215.92
0.39,84.34
1.22,263.42
0.47,101.4
1.78,384.57
1.23,265.9
0.14,30.27
1.48,319.28
1.28,276.9
1.99,430.22
0.73,157.42
1.38,298.41
0.38,81.97
1.17,252.66
0.62,133.95
0.05,10.79
1.45,313.3
0.16,34.53
0.1,21.61
1.83,395.55
0.11,23.76
0.21,45.37
0.63,136.24
1.86,401.35
1.29,278.99
1.67,360.55
0.52,112.24
0.95,205.18
0.23,49.61
0.31,66.89
1.93,416.23
0.34,73.55
1.35,291.16
1.16,250.73
0.13,28.1
0.5,108.01
1.14,246.61
0.13,28.13
1.57,338.85
0.42,90.77
1.56,337.13
0.03,6.48
1.22,263.09
0.51,110.3
1.98,427.88
1.9,410.63
1.86,402.43
1.26,272.12
1.65,356.09
1.52,328.04
0.37,79.88
1.23,265.58
1.57,339.04
1.04,224.29
0.1,21.62
1.46,315.09
1.95,420.63
1.93,417.13
1.93,417.36
0.85,183.85
0.04,8.63
1.38,298.2
0.59,127.55
1.29,278.84
2.0,432.09
1.65,356.36
1.64,354.61
1.88,405.7
0.05,10.81
0.18,38.9
0.95,205.44
1.01,218.03
1.73,374.11
0.11,23.78
1.26,272.39
0.88,189.82
1.65,356.86
1.15,248.7
1.15,248.23
0.47,101.53
0.6,129.72
0.11,23.76
1.1,237.25
0.02,4.32
1.88,405.95
1.29,278.74
1.35,291.79
0.22,47.58
0.29,62.57
1.9,410.41
1.73,374.1
1.07,230.86
0.91,196.46
0.11,23.79
1.66,358.54
0.71,153.46
1.65,356.31
1.45,312.7
0.15,32.36
1.56,336.58
0.72,155.36
0.86,185.78
1.36,293.62
0.3,64.84
1.75,378.25
0.79,170.42
0.45,97.09
1.82,392.57
1.35,292.06
0.81,174.78
1.56,337.18
1.74,376.28
1.0,215.65
1.6,345.51
1.27,274.77
0.62,134.03
0.26,56.14
1.06,229.12
0.92,198.72
1.26,271.87
1.53,330.24
1.12,241.52
1.58,341.76
1.39,300.26
1.29,278.7
0.28,60.43
0.34,73.53
0.77,166.17
0.52,112.28
0.68,147.12
0.16,34.6
0.05,10.79
1.61,347.41
1.64,354.66
1.06,229.32
1.3,281.13
1.27,274.45
1.62,350.18
0.03,6.47
1.1,237.47
1.05,226.63
0.35,75.69
2.0,432.6
1.71,368.98
1.25,269.68
1.83,395.0
1.75,377.87
1.13,244.14
0.81,175.05
1.33,287.75
1.89,407.84
0.72,155.54
1.94,419.6
2.73,589.84
1.85,399.98
3.91,843.65
2.75,593.31
4.85,1046.51
5.39,1163.2
5.05,1092.13
6.11,1318.23
6.37,1375.64
6.08,1311.5
7.02,1517.88
6.94,1500.15
7.07,1524.81
9.03,1949.2
9.23,1993.2
10.0,2161.18
9.26,1999.98
10.31,2224.8
11.06,2385.11
12.26,2652.47
11.52,2490.4
12.77,2757.18
13.39,2887.57
14.0,3023.71
13.47,2913.12
15.49,3340.44
15.16,3270.48
15.76,3404.69
15.19,3277.69
17.33,3747.95
16.62,3588.65
17.17,3704.26
18.09,3908.62
18.37,3974.31
18.2,3927.85
18.58,4016.12
19.7,4257.83
20.52,4430.94
21.47,4643.43
22.48,4863.47
22.86,4940.43
22.19,4786.55
23.61,5091.38
23.75,5123.32
24.73,5341.25
23.94,5164.05
24.64,5319.18
25.28,5469.5
25.47,5502.84
25.57,5531.13
24.97,5396.33
25.6,5522.78
25.95,5609.4
24.25,5236.38
25.43,5486.73
25.61,5535.07
24.66,5331.77
24.99,5395.89
24.36,5269.24
24.14,5214.47
25.56,5519.79
24.29,5252.66
24.09,5201.92
25.83,5578.3
25.81,5575.7
24.57,5304.24
24.55,5297.98
